Sample:,Tu (mg),RF,Myel,B cells,Neut,CG- PDL1+,IL-18
200825_PIIOVo2_FC_4T1R_Bld_D7_C1_003.fcs,118.9,157.1376465,10.62931264,1.026628158,11.75354747,1.4393875,0.926138401
200825_PIIOVo2_FC_4T1R_Bld_D7_C1_005.fcs,134.4,165.6623729,10.74058128,1.336040384,11.8677874,1.826648448,0.926138401
200825_PIIOVo2_FC_4T1R_Bld_D7_C1eC100_002.fcs,393.3,336.0437057,26.38909049,0.994150214,29.0236748,1.814637103,0.980996773
200825_PIIOVo2_FC_4T1R_Bld_D7_C1eC1000_004.fcs,274.6,309.0983623,19.18861954,1.168037802,21.22846339,3.486272856,0.856220868
200825_PIIOVo2_FC_4T1R_Bld_D7_C2_009.fcs,276.4,257.87597,18.06493625,0.777975061,19.79979138,2.951194696,0.912154894
200825_PIIOVo2_FC_4T1R_Bld_D7_C2eC100_006.fcs,120.8,177.5148729,8.53924737,0.851268891,9.228910886,1.65668795,0.926138401
200825_PIIOVo2_FC_4T1R_Bld_D7_C2eC100_010.fcs,228.6,207.190788,11.07358643,0.835241848,12.07796427,2.530246369,0.815346002
200825_PIIOVo2_FC_4T1R_Bld_D7_C2eC1000_008.fcs,261.2,183.07024,10.33817849,0.95105512,11.22464616,2.665553661,1.161706705
200825_PIIOVo2_FC_4T1R_Bld_D7_C3_011.fcs,127.4,199.9880578,12.60186121,1.001257987,13.78907931,1.953398021,0.884187881
200825_PIIOVo2_FC_4T1R_Bld_D7_C3_015.fcs,338.9,298.4243827,20.67757635,1.175933397,22.78940953,2.321375615,0.884187881
200825_PIIOVo2_FC_4T1R_Bld_D7_C3eC100_014.fcs,276.8,239.9259407,14.2337627,1.03499789,15.60501015,2.627637275,0.884187881
200825_PIIOVo2_FC_4T1R_Bld_D7_C3eC1000_012.fcs,192.6,296.1141169,14.60547045,0.703104712,15.97950635,1.449263858,0.912154894
200825_PIIOVo2_FC_4T1R_Bld_D7_C4_017.fcs,256,303.9213431,19.88470416,1.019323225,22.48684294,2.105840796,0.884187881
200825_PIIOVo2_FC_4T1R_Bld_D7_C4eC100_018.fcs,90,167.3364109,10.72174197,1.036971945,11.88353742,1.937854345,0.954105414
200825_PIIOVo2_FC_4T1R_Bld_D7_C4eC1000_016.fcs,546.2,285.1443862,25.04503848,1.100879736,28.15859824,2.847252026,0.843313015
200825_PIIOVo2_FC_4T1R_Bld_D7_C4eC1000_020.fcs,286.2,313.1879853,20.11870915,1.230147687,22.37228027,2.228115423,0.843313015
200825_PIIOVo2_FC_4T1R_Bld_D7_C5_021.fcs,278.8,229.9847535,13.88200407,0.816257842,15.26624534,1.756194385,0.843313015
200825_PIIOVo2_FC_4T1R_Bld_D7_C5eC100_022.fcs,333,276.9666508,16.90765019,0.889827156,18.63908582,2.273162513,0.870204374
200825_PIIOVo2_FC_4T1R_Bld_D7_C5eC1000_023.fcs,97.4,261.1662162,12.71141552,1.11939369,14.04133325,1.939832757,1.226245966
200825_PIIOVo2_FC_4T1R_Bld_D7_C5eC1000_024.fcs,317.5,251.6355793,14.20408463,1.363081085,15.85393122,2.650638714,0.898171388
200825_PIIOVo2_FC_4T1R_Bld_D7_C6_028.fcs,160.4,289.4060002,13.79177816,0.728174861,15.39759124,1.27253648,1.075654356
200825_PIIOVo2_FC_4T1R_Bld_D7_C6eC100_026.fcs,454.9,353.9909082,14.93031632,0.742842836,17.0954955,1.12133769,0.843313015
200825_PIIOVo2_FC_4T1R_Bld_D7_C6eC100_030.fcs,138.4,204.6020278,12.25073411,0.866569848,13.79199023,1.893338073,0.980996773
200825_PIIOVo2_FC_4T1R_Bld_D7_C6eC1000_027.fcs,206.9,276.6224897,14.2373956,0.793249148,16.17718407,1.568765832,0.856220868
200915_MPTLVo4_FC_4T1R_Bld_D7_C1_002.fcs,207,163.2914523,11.6918466,1.144989593,13.46154994,1.345191925,1.00188798
200915_MPTLVo4_FC_4T1R_Bld_D7_C1_003.fcs,216.9,171.4783822,12.02460685,1.407765802,13.64042432,1.551864701,1.116425425
200915_MPTLVo4_FC_4T1R_Bld_D7_C1_004.fcs,304.7,311.2375687,22.74451147,1.301509142,26.00769729,2.127703461,1.067337948
200915_MPTLVo4_FC_4T1R_Bld_D7_C1_005.fcs,74.1,173.6587864,11.41261507,1.295028056,13.0708305,1.345873379,0.954059157
200915_MPTLVo4_FC_4T1R_Bld_D7_C2_006.fcs,673.6,332.2733763,22.32811569,0.743697746,25.9012347,1.170460762,1.131529264
200915_MPTLVo4_FC_4T1R_Bld_D7_C2_008.fcs,186.1,244.6723062,13.68033322,0.841642992,15.69969162,1.230512804,1.034612964
200915_MPTLVo4_FC_4T1R_Bld_D7_C2_009.fcs,249.8,389.7056514,24.23013712,0.901108824,27.99553694,1.226783977,0.970421649
200915_MPTLVo4_FC_4T1R_Bld_D7_C2_010.fcs,290.1,306.7839917,23.33555304,0.95105481,26.4395011,1.475974473,0.954059157
200915_MPTLVo4_FC_4T1R_Bld_D7_C3_011.fcs,374.8,276.0841775,18.72526672,1.005112408,21.84250757,1.459754973,1.083700441
200915_MPTLVo4_FC_4T1R_Bld_D7_C3_012.fcs,328.2,314.7054604,25.28586181,0.891917813,29.39407783,1.571023525,0.954059157
200915_MPTLVo4_FC_4T1R_Bld_D7_C3_014.fcs,285.7,258.0110105,14.52090422,0.939467392,16.50349664,1.471515335,0.986784141
200915_MPTLVo4_FC_4T1R_Bld_D7_C3_015.fcs,321.5,395.6877621,14.17719557,0.742987507,16.24766515,0.93878235,1.00188798
200915_MPTLVo4_FC_4T1R_Bld_D7_C4_016.fcs,323.1,308.1258771,21.97502741,1.095355432,25.20995032,1.948299038,1.283826306
200915_MPTLVo4_FC_4T1R_Bld_D7_C4_017.fcs,315.5,326.2816316,27.10210026,1.382592231,30.89639475,2.354012595,1.147891756
200915_MPTLVo4_FC_4T1R_Bld_D7_C4_018.fcs,305,297.2178973,21.87371885,1.05986646,25.07942258,2.306043299,1.116425425
200915_MPTLVo4_FC_4T1R_Bld_D7_C4_020.fcs,128,287.315739,18.24266719,0.997824075,20.69907572,1.933089541,0.986784141
200915_MPTLVo4_FC_4T1R_Bld_D7_C5_021.fcs,273.3,283.9220447,16.61338564,0.869082864,18.76595546,1.457542105,1.3593455
200915_MPTLVo4_FC_4T1R_Bld_D7_C5_022.fcs,218.3,262.5237099,17.70642759,0.998064215,20.00676453,2.084103574,1.018250472
200915_MPTLVo4_FC_4T1R_Bld_D7_C5_023.fcs,159.2,272.4625525,17.59515464,0.937303631,19.79570786,2.789293588,0.970421649
200915_MPTLVo4_FC_4T1R_Bld_D7_C5_024.fcs,209,323.220935,21.85916222,1.245929436,24.79962536,3.387691571,1.034612964
200915_MPTLVo4_FC_4T1R_Bld_D7_C6_026.fcs,409,345.6511634,31.15938561,1.227609104,34.55909335,2.728817904,1.034612964
200915_MPTLVo4_FC_4T1R_Bld_D7_C6_027.fcs,272.6,322.8191155,25.49400797,1.312809854,28.76266363,2.519982483,1.034612964
200915_MPTLVo4_FC_4T1R_Bld_D7_C6_028.fcs,347.9,346.1817115,26.07323666,1.222830748,29.03497767,2.398485168,1.034612964
200915_MPTLVo4_FC_4T1R_Bld_D7_C6_030.fcs,337.3,319.2774002,28.16656377,1.452595749,31.63733938,2.645252951,0.970421649
201111_PIIOVo4_FC_4T1R_Bld_D7_C6_002.fcs,279.8,276.8593615,16.38426772,0.863284551,18.1174241,2.181903237,0.735208535
201111_PIIOVo4_FC_4T1R_Bld_D7_C6_004.fcs,783.4,508.8083949,24.16065353,0.473558091,26.37371814,1.225773189,1.697381183
201111_PIIOVo4_FC_4T1R_Bld_D7_C6eC10000_001.fcs,179.4,305.1482465,8.887336172,0.549339292,9.678542492,2.739976111,0.473326867
201111_PIIOVo4_FC_4T1R_Bld_D7_C6eC10000_003.fcs,265.5,431.8352429,26.98429145,0.776699645,29.46440529,2.935930467,0.673132881
201111_PIIOVo4_FC_4T1R_Bld_D7_C6eC10000_005.fcs,581.3,373.3160047,28.58457037,0.618593657,31.19818888,1.88960982,0.772065955
201111_PIIOVo4_FC_4T1R_Bld_D7_C7_006.fcs,345.7,275.3811522,13.49074347,0.570685287,14.82983446,1.668982685,0.747817653
201111_PIIOVo4_FC_4T1R_Bld_D7_C7_008.fcs,482.8,475.4368857,20.34431317,0.565348015,22.10742397,1.022097981,0.548011639
201111_PIIOVo4_FC_4T1R_Bld_D7_C7_010.fcs,306.3,242.9326174,10.35836468,0.517928589,11.24897353,1.645072079,0.647914646
201111_PIIOVo4_FC_4T1R_Bld_D7_C7eC10000_007.fcs,289.3,245.851401,12.27597771,0.708193262,13.63997802,2.68856208,0.809893307
201111_PIIOVo4_FC_4T1R_Bld_D7_C7eC10000_009.fcs,594.3,334.8223364,18.69188605,0.485553165,20.67043429,2.184228025,1.551891368
